customer_id,name,flight_id,phone_number,booking_id,age,email,airline_name,departure_city,arrival_city,departure_date,ticket_price,class,booking_date,status,payment_method,additional_services,departure_time,arrival_time
32340969,Seth Frank,AI-BenPun,6895132435,74765519,24,whitebetty@example.net,Air India,Bengaluru,Pune,2025-01-03,4571.68,Economy,2024-01-04,Confirmed,Credit Card,,08:45,11:30
39468519,Samantha Guerra,SJ-NewCha,8689280425,16018610,39,freemanmelissa@example.net,Spice Jet,New Delhi,Chandigarh,2024-12-05,4352.5,Business,2024-04-19,Pending,Credit Card,Meal Preference,20:35,23:30
67783267,Tyler Day,AI-MumHyd,9763123594,41486539,79,lisapatton@example.org,Air India,Mumbai,Hyderabad,2024-12-22,5402.91,Business,2024-10-19,Confirmed,UPI,Extra Baggage,16:45,19:30
28601156,Karen Wright,AI-MumGoa,9138614652,11340029,80,leeyvonne@example.com,Air India,Mumbai,Goa,2024-12-06,5056.6,Economy,2024-06-19,Canceled,Credit Card,Extra Baggage,16:15,19:00
24556077,Scott Terry,IN-MumCha,7318043193,14111908,73,zperez@example.org,Indigo,Mumbai,Chandigarh,2025-01-02,5961.18,Economy,2024-11-12,Pending,Credit Card,,13:25,16:20
52152400,Alexander Wilson,AI-BenInd,8864183732,45626137,58,wsnyder@example.net,Air India,Bengaluru,Indore,2024-12-24,5785.2,Economy,2024-04-03,Confirmed,Credit Card,Meal Preference,08:15,11:00
60356676,Allison Clark,SJ-BenAhm,6683698453,77589729,38,pamela89@example.com,Spice Jet,Bengaluru,Ahmadabad,2024-12-12,5655.29,Economy,2024-06-17,Canceled,Debit Card,,10:10,13:05
20017871,Bill King,AK-KolAhm,9515612146,89032211,53,idavis@example.com,Akasa Air,Kolkata,Ahmadabad,2025-01-09,6765.8,Business,2024-02-20,Pending,Credit Card,,17:15,19:55
50912309,Sonya Garcia,SJ-CheGoa,8806925773,43873542,52,cwise@example.com,Spice Jet,Chennai,Goa,2024-12-08,6139.28,Economy,2024-06-24,Pending,UPI,Extra Baggage,13:30,16:25
29803519,Christopher Young,SJ-NewPun,7933778479,65985795,65,jacob41@example.com,Spice Jet,New Delhi,Pune,2025-01-24,6220.74,Business,2024-09-11,Pending,Debit Card,,22:15,01:10
70495552,Sherry Delacruz,AI-NewPun,8948495300,56725434,41,jorgemoore@example.com,Air India,New Delhi,Pune,2024-12-13,6191.82,Economy,2024-08-21,Confirmed,Credit Card,Extra Baggage,20:45,23:30
62495942,Tracy Jackson,SJ-BenPun,9317256394,63025850,79,zcooper@example.org,Spice Jet,Bengaluru,Pune,2024-12-06,4381.79,Economy,2024-10-12,Canceled,Debit Card,,12:15,15:10
64059831,Ricardo Garcia,AK-BenInd,8001751438,44562600,64,sheri59@example.net,Akasa Air,Bengaluru,Indore,2025-01-31,5658.57,Business,2024-06-02,Pending,Credit Card,Meal Preference,19:55,22:35
73433310,Alicia Ross,SJ-NewInd,9951057720,51187464,75,imartin@example.com,Spice Jet,New Delhi,Indore,2025-01-07,6876.19,Business,2024-07-04,Confirmed,Credit Card,Meal Preference,21:50,00:45
55288515,Sara Bright,SJ-BenGoa,9723721924,13484651,72,sydney96@example.com,Spice Jet,Bengaluru,Goa,2025-01-26,5442.64,Economy,2024-01-30,Canceled,Debit Card,Extra Baggage,11:00,13:55
32255460,Alexandria Short,AI-MumInd,8554247561,18714627,78,meadowsjulia@example.net,Air India,Mumbai,Indore,2024-12-27,4269.18,Business,2024-04-04,Pending,UPI,,17:15,20:00
37154778,Angela Leon,AK-CheInd,8247447112,14198297,53,lisalucero@example.net,Akasa Air,Chennai,Indore,2024-12-21,6037.01,Business,2024-04-12,Pending,Debit Card,Extra Baggage,17:55,20:35
